DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-03-15,15,1.0,11.0,12,0.0,11.0,11,0.0,0.0,0,0.0,0.0,0,2.0,1.0,3,8.0,8.0,16,1.0,43,2018,MAR
2018-03-16,16,0.0,10.0,10,0.0,10.0,10,0.0,3.0,3,0.0,3.0,3,0.0,0.0,0,1.0,0.0,1,0.0,27,2018,MAR
2018-03-17,17,0.0,19.0,19,0.0,20.0,20,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,0.0,0.0,0,7.0,50,2018,MAR
2018-03-18,18,8.0,13.0,21,4.0,15.0,19,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,5.0,5.0,10,0.0,53,2018,MAR
2018-03-19,19,3.0,7.0,10,2.0,10.0,12,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,8.0,8.0,16,0.0,38,2018,MAR
2018-03-20,20,11.0,3.0,14,5.0,6.0,11,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,5.0,5.0,10,1.0,39,2018,MAR
2018-03-21,21,0.0,30.0,30,0.0,32.0,32,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,6.0,6.0,12,5.0,81,2018,MAR
2018-03-22,22,12.0,4.0,16,11.0,3.0,14,0.0,3.0,3,0.0,3.0,3,0.0,2.0,2,7.0,7.0,14,8.0,60,2018,MAR
2018-03-23,23,8.0,2.0,10,5.0,4.0,9,1.0,0.0,1,1.0,0.0,1,3.0,0.0,3,0.0,0.0,0,0.0,24,2018,MAR
2018-03-24,24,0.0,22.0,22,0.0,24.0,24,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,49,2018,MAR
2018-03-25,25,0.0,25.0,25,0.0,26.0,26,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,51,2018,MAR
2018-03-26,26,8.0,8.0,16,8.0,9.0,17,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5.0,5.0,10,0.0,43,2018,MAR
2018-03-27,27,1.0,18.0,19,0.0,19.0,19,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,9.0,9.0,18,2.0,61,2018,MAR
2018-03-28,28,26.0,17.0,43,19.0,23.0,42,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,8.0,8.0,16,5.0,106,2018,MAR
2018-03-29,29,0.0,19.0,19,0.0,20.0,20,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,10.0,10.0,20,0.0,62,2018,MAR
2018-03-30,30,0.0,17.0,17,0.0,19.0,19,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,0.0,0.0,0,0.0,40,2018,MAR
2018-03-31,31,7.0,29.0,36,0.0,34.0,34,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,73,2018,MAR
2018-04-01,1,1.0,29.0,30,0.0,30.0,30,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,60,2018,APR
2018-04-02,2,3.0,17.0,20,0.0,19.0,19,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,8.0,8.0,16,0.0,57,2018,APR
2018-04-03,3,3.0,19.0,22,0.0,22.0,22,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,7.0,7.0,14,1.0,60,2018,APR
